firm_id,year,total_assets,debt_assets,roa,current_ratio,interest_coverage,revenue_growth,volatility,pd,default,lgd,ead
0,2023,5372017.8156549595,0.17071183291499611,0.10648385498710358,1.5368703931032726,8.34689925141305,0.09857585601622237,0.2936824717192388,0.002,0,0.6947300591014625,1117247.1483006675
1,2023,2846884.222177128,0.24303279275432918,0.031237175282247263,2.001360707588657,28.622757460216818,-0.17136434143849524,0.3537890914767743,0.002,0,0.4066908468277826,956598.0378406424
2,2023,6247478.736104208,0.16867962259904035,0.11651654619949772,1.5932531084417,2.03923914885023,0.17195588015602137,0.14777014859661575,0.002,0,0.856573866642455,1085660.4878351283
3,2023,14992038.573681332,0.11978721348434995,0.01517428836133334,1.613291964513654,0.6853793156056924,0.17404391359650914,0.20463459432306932,0.027965074510793476,0,0.5659187086351477,2890180.7236881778
4,2023,2586578.777844657,0.4281637369757693,0.10720121555685477,1.1473358345286664,2.984706974218048,0.1598166668123079,0.25747922631858056,0.02881056261495069,0,0.7243879249526359,1400519.5887201466
5,2023,2586621.2440594663,0.2805328520070296,0.05804190657126778,2.484429425602438,2.3063277394597823,0.15597719623776943,0.18779979807720848,0.007172670684439402,0,0.5990230919271167,408502.74003215804
6,2023,15858446.45168852,0.05,0.10164208930809734,1.1758218148387494,13.15866555554076,0.031582467465887686,0.3227169221703542,0.002,0,0.47377742365304526,3364165.475860825
7,2023,7042224.998703944,0.5758838933798938,0.12607062834806176,0.6661082697262611,10.311620618842245,0.029331761550697756,0.19777991518683047,0.002,0,0.36035136629100306,4209560.593469807
8,2023,2044217.4599709422,0.24667491342653283,0.00469570837914985,1.9300920601090383,5.431959728500976,-0.08296400897708561,0.3798370004446755,0.028785645121721302,0,0.303474012690528,793175.2999267639
9,2023,5624035.606294066,0.12659141193795395,0.10103087283033291,1.442591480175787,1.7000280229760594,0.21480412517110478,0.15688405982498102,0.002,0,0.6179476525478903,2209737.628707482
10,2023,2056636.2281719288,0.07690526282307505,-0.006356156177016188,1.3484790895264624,4.6749256222953335,-0.008501817302627786,0.4631983649500617,0.07223019783445775,0,0.48975510735609934,1074562.4809173706
11,2023,2051886.6530246607,0.13178659947560378,0.008112625790070868,1.2272231097942363,3.360215427525031,0.0739885309751881,0.4529297355602423,0.06659418578985118,0,0.5424751561175208,743110.8973176829
12,2023,4163898.244946701,0.34235225040309447,0.017863621608302523,2.435857312157919,3.2971503418467405,0.06540452829547781,0.24052468536846555,0.020196226327147425,0,0.5721935257423105,878128.5679299742
13,2023,482492.0656330823,0.4422870444385288,0.07014546544711445,1.6772951393023414,0.7814658103310208,-0.09404191816041566,0.36461704509257487,0.07458207769955186,0,0.5033961581588697,150167.58726853837
14,2023,582498.6620368846,0.22902080143355766,0.051320635077394386,1.7748756108225425,6.356235316750106,-0.13446750241232056,0.2099571939491393,0.002,0,0.3792213677547898,278143.47624164575
15,2023,1863025.7490275283,0.8133424050014515,0.043314556633486566,1.5813078117911337,2.9631315425123814,0.04055866208673483,0.3513286498231345,0.10752599627430545,0,0.6019053706523401,998999.5276622
16,2023,1187272.0987917231,0.20792342426577648,0.05584941116089444,1.635024806722598,2.507602009959219,-0.005375611761150902,0.2324021668543229,0.012832286729369067,0,0.4202719729046523,280910.8492309986
17,2023,4476031.26130476,0.26083444259376065,0.07365158357173891,2.1993123052797072,1.6818170797349106,0.03105631407566648,0.12145601014915158,0.002,0,0.46358538970764596,1033907.8621182765
18,2023,1318461.2890171,0.10952628416623476,0.07672992495765411,1.3745726693861524,1.4406678636604984,0.14654156302032326,0.05,0.002,0,0.5576085909956576,347815.497826365
19,2023,796272.1462469458,0.25085125200039493,0.09376667342460525,0.7715312272396351,3.5036555455210396,0.062494415053702276,0.22312865539293897,0.002,0,0.44115548897265894,317000.2014196307
20,2023,14155995.023799708,0.46152626905013167,0.12280139251069759,1.9340273271138884,0.6707691489717338,0.11585225407647307,0.27790625086852927,0.04457736308437037,0,0.17732282125052118,3386885.975783235
21,2023,2608337.7513088183,0.6224521206393593,0.049145505102340926,1.748350806121196,5.112042381951905,0.08453281621755776,0.38303164260362166,0.07859468801418001,0,0.6060881256830322,1425635.1550142586
22,2023,3497392.3456904674,0.3984798933684013,0.02915644151476335,1.5539899064425213,1.1696629734154727,0.008366580676016824,0.25366250321513906,0.06877733879791444,0,0.6382393244872577,2059977.3619708603
23,2023,786424.3520169881,0.058734322284688646,0.07454144516740753,1.7353766207738932,0.5236433014066597,-0.06018031671930638,0.3502910134717589,0.04730401592627241,0,0.17533258625993353,345680.657696534
24,2023,1896683.2778227262,0.09968586243360074,0.004229807349415193,1.314627889852913,11.675775820020885,0.06647178681134684,0.2046058452778473,0.002,0,0.2935063191507693,1109843.9317716563
25,2023,3652500.6103432975,0.05874538677015844,0.022851834715535545,1.51034629142713,1.3682470028265459,0.04838926193460913,0.21627210304685549,0.023524306542587962,0,0.7535819426228266,890937.0669749232
26,2023,1034063.1674664934,0.14049481279644285,0.0899752378557116,1.434149873070045,1.5254244066480964,0.13151563375047473,0.35540356825285857,0.037381112264056396,0,0.4848052017755868,524875.1354665608
27,2023,4759713.419204502,0.18135617969878268,0.045034865007291834,1.2042558714645415,6.737107407688001,0.024909993027750703,0.05,0.002,0,0.45053269099055476,2090572.37014868
28,2023,1792929.2809812848,0.12077322769540527,0.001672301665678444,2.094586391552501,11.98366797156285,0.010265845488447736,0.2512983828902916,0.002,0,0.3860424889425645,415235.09795443853
29,2023,2441947.049598788,0.3803905055871858,-0.009592122614606964,0.7938706862910998,0.7973980712130478,0.017050061621840012,0.2100038650444135,0.0918007395034543,0,0.29539460237150483,632961.5642419987
30,2023,1791015.5938172948,0.11550874706878707,0.05194866717575229,2.6804410859064833,1.2649916884965806,-0.051872663500544584,0.38606112048522845,0.029727818817191883,0,0.4208373536540425,616669.6535051954
31,2023,20837778.775686525,0.3442408863859198,0.0956758614787204,1.9386811046032377,1.341591964839099,0.1846909944820458,0.197175370502018,0.002,0,0.5961634108748567,10331822.235544942
32,2023,3225191.1419005827,0.4240345061051237,0.09514183110124746,0.6110122326488245,5.742193786913821,0.15396287546157617,0.3016584969570094,0.023002206095284857,0,0.4476483060928501,1729060.8823947343
33,2023,1135165.5656108153,0.22282399733200586,0.0544352201157135,1.3879168352545352,10.087587446370032,-0.08130298289580468,0.3421516969334694,0.002,0,0.5415426128839572,473333.98380482296
34,2023,7441216.578842548,0.49661588793271977,0.13035637676384512,1.415727042048221,1.1454504327972728,0.12039481419725495,0.10074040058695896,0.0022988907038703488,0,0.7148560722759845,3428824.689832627
35,2023,964298.6707427783,0.3672419812866422,0.04580718536238149,1.695943314471056,8.429995771182705,-0.14450050639323656,0.23606296917260988,0.002,0,0.36292827293307106,223644.7462733851
